SDP Name,City,Yr,Revenue,Products,Invoices
NOOR MEDICINE COMPANY,NOOR MEDICINE COMPANY,2024.0,33018555.89,144,1367
NOOR MEDICINE COMPANY,NOOR MEDICINE COMPANY,2025.0,42249037.83,156,1520
NOVIPHARM ENTERPRISES,NOVIPHARM ENTERPRISES,2024.0,0.0,5,118
NOVIPHARM ENTERPRISES,NOVIPHARM ENTERPRISES,2025.0,0.0,6,235
NUSRAT PHARMA - KOTLI,Kotli,2024.0,77098868.44,194,1974
NUSRAT PHARMA - KOTLI,Kotli,2025.0,124074539.47,200,3082
ONCOCARE PHARMACY,ONCOCARE PHARMACY,2024.0,15321568.73,88,484
ONCOCARE PHARMACY,ONCOCARE PHARMACY,2025.0,16680455.64,85,478
ONCOLINK PHARMA DISTRIBUTORS,ONCOLINK PHARMA DISTRIBUTORS,2024.0,0.0,3,8
ONCOLINK PHARMA DISTRIBUTORS,ONCOLINK PHARMA DISTRIBUTORS,2025.0,0.0,3,29
ONE TIME BUYER,ONE TIME BUYER,2024.0,9043101.43,198,10415
ONE TIME BUYER,ONE TIME BUYER,2025.0,11181885.27,217,12473
ORAH LIFE (PVT) LTD.,ORAH LIFE (PVT) LTD.,2024.0,3576101.38,203,621
ORAH LIFE (PVT) LTD.,ORAH LIFE (PVT) LTD.,2025.0,286054.26,83,86
OTSUKA PAKISTAN LTD,OTSUKA PAKISTAN LTD,2025.0,0.0,1,2
P.E.S.S.I LAHORE,P.E.S.S.I LAHORE,2024.0,1587624.24,15,30
P.E.S.S.I LAHORE,P.E.S.S.I LAHORE,2025.0,468000.75,8,16
PAKISTAN MEDICAL SUPPLY CORP,PAKISTAN MEDICAL SUPPLY CORP,2024.0,0.0,5,28
PAKISTAN MEDICAL SUPPLY CORP,PAKISTAN MEDICAL SUPPLY CORP,2025.0,0.0,4,49
PAKISTAN VACCINE HOUSE,PAKISTAN VACCINE HOUSE,2024.0,104476.79999999999,18,154
PAKISTAN VACCINE HOUSE,PAKISTAN VACCINE HOUSE,2025.0,0.0,12,219
PATIENT'S CARE,PATIENT'S CARE,2024.0,0.0,3,19
PATIENT'S CARE,PATIENT'S CARE,2025.0,0.0,2,13
PHARMA CURE INTERNATIONAL,PHARMA CURE INTERNATIONAL,2025.0,363673.48,27,56
PHARMA SOLUTION,PHARMA SOLUTION,2025.0,5752325.05,76,524
PHARMATEC PAKISTAN (PVT) LTD.,PHARMATEC PAKISTAN (PVT) LTD.,2024.0,0.0,1,1
PHARMATEC PAKISTAN (PVT) LTD.,PHARMATEC PAKISTAN (PVT) LTD.,2025.0,0.0,1,1
PHARMEVO (PVT) LTD,PHARMEVO (PVT) LTD,2025.0,0.0,1,1
PREMIER AGENCIES - KORANGI,Karachi,2025.0,4568549.67,213,413
PREMIER SALES PVT LTD-ABBOTTABAD,Abbottabad,2024.0,102567234.08,206,2513
PREMIER SALES PVT LTD-ABBOTTABAD,Abbottabad,2025.0,130072457.58,202,2780
PREMIER SALES PVT LTD-ATTOCK,Attock,2024.0,69013079.96,184,2249
PREMIER SALES PVT LTD-ATTOCK,Attock,2025.0,93361533.85,191,2448
PREMIER SALES PVT LTD-BADIN,Badin,2024.0,22333771.16,151,995
PREMIER SALES PVT LTD-BADIN,Badin,2025.0,33363569.71,152,1149
PREMIER SALES PVT LTD-BAHAWALNAGAR,Bahawalnagar,2024.0,66733531.31,196,2083
PREMIER SALES PVT LTD-BAHAWALNAGAR,Bahawalnagar,2025.0,87407780.01,190,2188
PREMIER SALES PVT LTD-BAHAWALPUR,Bahawalpur,2024.0,99730230.41,208,2547
PREMIER SALES PVT LTD-BAHAWALPUR,Bahawalpur,2025.0,142478461.35,203,2722
PREMIER SALES PVT LTD-BANNU,Bannu,2024.0,141654896.15,196,2793
PREMIER SALES PVT LTD-BANNU,Bannu,2025.0,197489173.87,200,3168
PREMIER SALES PVT LTD-BUREWALA,Burewala,2025.0,65939769.15,203,1523
PREMIER SALES PVT LTD-CHAKWAL,Chakwal,2024.0,66486672.63,193,2133
PREMIER SALES PVT LTD-CHAKWAL,Chakwal,2025.0,87851618.27,195,2370
PREMIER SALES PVT LTD-D.G.KHAN,D.G.Khan,2024.0,119935518.65,205,2729
PREMIER SALES PVT LTD-D.G.KHAN,D.G.Khan,2025.0,148922283.4,204,2901
PREMIER SALES PVT LTD-D.I.KHAN,D.I.Khan,2024.0,94709800.4,183,2190
PREMIER SALES PVT LTD-D.I.KHAN,D.I.Khan,2025.0,118268459.83,179,2390
