Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2024,12,EVOPRIDE PLUS,WINNERS,21414326.083,47060.0,EVOPRIDE PLUS,WINNERS,129800.0,1
2024,12,FEMOVA,GLADIATORS,13525555.7442,12597.0,FEMOVA,GLADIATORS,652178.0,14
2024,12,FERFER,GLADIATORS,14628764.0002,19466.0,FERFER,GLADIATORS,955582.3,20
2024,12,INOSITA PLUS,METABOLIZERS,99664714.0761,96229.0,INOSITA PLUS,METABOLIZERS,604235.0,6
2024,12,INOSITA PLUS,WINNERS,33756581.11523,55708.0,INOSITA PLUS,WINNERS,696400.0,7
2024,12,KALSOB,BONE SAVIORS,25253645.5945,40622.0,KALSOB,BONE SAVIORS,713507.2,13
2024,12,KLEVRA,MAVERICKS,8880321.1728,8949.0,KLEVRA,MAVERICKS,69687.0,1
2024,12,LOWPLAT,CHALLENGERS,80371306.68096001,341049.0,LOWPLAT,CHALLENGERS,413916.0,9
2024,12,NISE,BONE SAVIORS,64813700.2315,250009.0,NISE,BONE SAVIORS,1126048.2,21
2024,12,ONITA,ELITE,13876979.725,11764.0,ONITA,ELITE,1463276.5899999999,30
2024,12,OPT-D,ELITE,32181253.7939,129594.0,OPT-D,ELITE,122875.0,2
2024,12,ORSLIM,WARRIORS,63959584.375,29448.0,ORSLIM,WARRIORS,1228811.2,20
2024,12,PARIDOPA,TITANS,8704904.4905,5548.0,PARIDOPA,TITANS,913890.0,9
2024,12,RAMIPACE,CHAMPIONS,35872242.9856,58044.0,RAMIPACE,CHAMPIONS,497709.98,8
2024,12,SACVIN,ALPHA,42295954.992,30110.0,SACVIN,ALPHA,3966192.3,39
2024,12,SHEVIT,WARRIORS,8279872.206999999,16735.0,SHEVIT,WARRIORS,520250.5,15
2024,12,TELSARTA,NAVIGATORS,8638031.7317,32428.0,TELSARTA,NAVIGATORS,24928.0,1
2024,12,TREATAN,METABOLIZERS,12744925.0593,31472.0,TREATAN,METABOLIZERS,723352.0,6
2024,12,VOXAMINE,TITANS,7835926.5429,17152.0,VOXAMINE,TITANS,71460.0,1
2025,1,AGOVIZ,MAVERICKS,4183238.5555,5916.0,AGOVIZ,MAVERICKS,232250.0,4
2025,1,ANPLAG,CHAMPIONS,31105790.782,22745.0,ANPLAG,CHAMPIONS,468820.0,2
2025,1,ARBI,WINNERS,4446859.5008,12568.0,ARBI,WINNERS,171775.98,13
2025,1,AVSAR,CHALLENGERS,155996432.101,342270.0,AVSAR,CHALLENGERS,4811889.92,46
2025,1,AVSAR PLUS,BRAVO,50856833.407400005,112924.0,AVSAR PLUS,BRAVO,1193506.8,19
2025,1,BYVAS,LEGENDS,31621678.0397,111960.0,BYVAS,LEGENDS,2143498.05,41
